gene_id,gene_idx
ENSG00000005981,1123
ENSG00000164122,1124
ENSG00000148331,1125
ENSG00000183475,1126
ENSG00000177981,1127
ENSG00000102048,1128
ENSG00000146926,1129
ENSG00000165192,1130
ENSG00000198881,1131
ENSG00000196372,1132
ENSG00000239388,1133
ENSG00000146809,1134
ENSG00000161664,1135
ENSG00000154007,1136
ENSG00000182177,1137
ENSG00000138303,1138
ENSG00000100325,1139
ENSG00000112249,1140
ENSG00000139352,1141
ENSG00000183734,1142
ENSG00000176009,1143
ENSG00000187855,1144
ENSG00000232237,1145
ENSG00000286053,1146
ENSG00000111875,1147
ENSG00000105011,1148
ENSG00000141505,1149
ENSG00000161944,1150
ENSG00000116539,1151
ENSG00000129691,1152
ENSG00000110881,1153
ENSG00000108684,1154
ENSG00000213199,1155
ENSG00000072182,1156
ENSG00000256394,1157
ENSG00000101440,1158
ENSG00000126522,1159
,1160
,1161
ENSG00000070669,1162
ENSG00000138381,1163
ENSG00000108381,1164
ENSG00000204653,1165
ENSG00000166183,1166
ENSG00000198363,1167
ENSG00000174939,1168
ENSG00000128203,1169
ENSG00000066279,1170
ENSG00000106819,1171
ENSG00000244617,1172
ENSG00000169696,1173
ENSG00000162174,1174
ENSG00000130707,1175
ENSG00000034533,1176
ENSG00000188886,1177
ENSG00000152092,1178
ENSG00000148219,1179
ENSG00000171456,1180
ENSG00000143970,1181
ENSG00000141431,1182
ENSG00000154438,1183
ENSG00000138138,1184
ENSG00000156802,1185
ENSG00000119778,1186
ENSG00000197785,1187
ENSG00000160072,1188
ENSG00000215915,1189
ENSG00000176208,1190
ENSG00000137343,1191
ENSG00000167654,1192
ENSG00000107669,1193
ENSG00000123268,1194
ENSG00000115966,1195
ENSG00000162772,1196
ENSG00000128272,1197
ENSG00000169136,1198
ENSG00000118217,1199
ENSG00000213676,1200
ENSG00000170653,1201
ENSG00000171681,1202
ENSG00000166669,1203
ENSG00000110046,1204
ENSG00000066739,1205
ENSG00000144848,1206
ENSG00000101844,1207
ENSG00000168397,1208
ENSG00000125703,1209
ENSG00000130734,1210
ENSG00000057663,1211
ENSG00000197548,1212
ENSG00000198925,1213
ENSG00000181652,1214
ENSG00000152348,1215
ENSG00000145782,1216
ENSG00000175224,1217
ENSG00000126775,1218
ENSG00000085978,1219
ENSG00000168010,1220
ENSG00000123395,1221
ENSG00000138363,1222
ENSG00000198513,1223
ENSG00000119787,1224
ENSG00000184743,1225
ENSG00000149311,1226
ENSG00000166454,1227
ENSG00000111676,1228
ENSG00000172238,1229
ENSG00000179774,1230
ENSG00000168874,1231
ENSG00000047346,1232
ENSG00000005238,1233
ENSG00000177556,1234
ENSG00000163399,1235
ENSG00000018625,1236
ENSG00000105409,1237
ENSG00000132681,1238
ENSG00000143153,1239
ENSG00000129244,1240
ENSG00000069849,1241
ENSG00000101892,1242
ENSG00000196296,1243
ENSG00000174437,1244
ENSG00000074370,1245
ENSG00000070961,1246
ENSG00000157087,1247
ENSG00000067842,1248
ENSG00000058668,1249
ENSG00000017260,1250
ENSG00000064270,1251
ENSG00000105675,1252
ENSG00000186009,1253
